G,R,2B,3B,HR,RBI,SO,BA,OPS,GDP,SF,Salary
144,75,24,1,27,88,101,0.261,0.823,22,3,6.719447581
156,103,40,7,30,106,128,0.259,0.799,4,7,6.39379511
150,57,30,8,8,63,92,0.259,0.728,9,2,6.791735119
144,89,33,0,31,96,130,0.259,0.816,6,6,6.484875579
127,50,22,0,9,51,104,0.259,0.697,12,4,6.518733847
155,103,26,8,46,100,189,0.257,0.965,7,2,6.39379511
130,48,16,0,15,75,118,0.256,0.701,21,9,7.39379511
134,62,20,1,13,64,85,0.256,0.74,11,4,5.68671541
131,73,26,4,22,71,107,0.256,0.769,9,1,5.678977219
157,81,34,3,34,105,96,0.255,0.807,20,7,7.4607419
147,77,33,1,21,71,143,0.255,0.758,19,1,6.593367465
144,77,23,1,33,89,161,0.255,0.796,12,7,5.675963888
151,80,32,1,23,86,147,0.254,0.779,14,5,6.292337469
148,92,25,4,20,73,167,0.254,0.782,5,3,6.808768458
146,77,26,5,28,90,124,0.253,0.786,3,1,6.805975558
157,110,23,2,39,100,169,0.253,0.804,12,8,6.395240351
142,88,34,5,24,75,139,0.251,0.801,7,5,7.159711904
134,84,35,3,20,60,110,0.25,0.786,4,7,6.569886369
144,95,26,2,36,94,120,0.249,0.895,7,1,6.791735119
150,77,25,1,23,75,116,0.249,0.789,9,3,5.676417223
142,63,18,2,18,42,132,0.249,0.738,6,0,6.466902208
124,70,20,4,18,53,145,0.248,0.728,3,3,5.673880028
141,73,23,3,22,61,87,0.248,0.783,15,5,7.134157799
160,78,33,2,27,88,167,0.248,0.76,7,7,6.694825106
135,73,26,0,26,72,114,0.247,0.827,22,8,7.23889315
149,97,31,0,39,99,167,0.247,0.863,2,3,6.314613864
139,55,28,0,14,69,108,0.245,0.717,8,4,6.092765114
142,58,16,1,12,54,144,0.244,0.653,9,5,6.217703851
146,60,25,2,3,37,81,0.243,0.614,14,4,7.086935571
149,77,26,2,31,90,194,0.243,0.741,15,4,5.644818963
132,61,28,3,15,62,119,0.242,0.74,10,4,5.686936593
127,57,18,2,11,49,107,0.242,0.677,11,2,5.513930138
149,59,25,1,22,81,114,0.241,0.703,17,4,6.886710616
156,88,23,3,23,67,155,0.239,0.772,8,6,6.657036545
142,79,29,3,27,106,122,0.234,0.772,4,8,5.688555175
149,84,21,2,21,62,135,0.232,0.694,11,3,6.61564386
141,93,22,4,17,61,128,0.231,0.746,9,2,6.757093633
125,73,16,3,20,63,96,0.23,0.734,7,3,7.553161752
155,74,24,2,15,49,128,0.229,0.724,10,4,6.866063862
146,67,17,2,38,113,174,0.228,0.772,7,3,6.61564386
148,63,20,1,25,66,156,0.226,0.757,12,1,6.529457712
148,50,22,3,5,39,41,0.226,0.574,7,3,5.693375039
139,75,28,3,25,71,131,0.224,0.768,3,3,5.694825106
135,68,24,0,30,75,183,0.223,0.778,13,1,6.95806654
149,74,27,0,27,70,142,0.223,0.749,12,5,6.833127804
144,78,24,1,27,80,132,0.222,0.778,10,7,7.217703851
144,55,27,6,16,54,154,0.216,0.68,12,6,6.428557216
158,66,15,0,19,69,102,0.214,0.66,12,5,6.777011862
159,73,29,1,35,101,161,0.212,0.723,7,4,7.17194636
151,75,15,3,27,72,202,0.21,0.716,6,9,6.728918552
153,90,13,1,38,77,213,0.199,0.808,6,1,7.01009554
145,71,23,0,31,79,171,0.198,0.713,14,5,6.937863154
50,41,10,2,10,27,21,0.364,1.011,3,1,6.594266743
47,39,14,0,13,37,28,0.351,1.185,1,0,5.314012072
60,51,23,1,13,53,37,0.341,1.102,6,0,6.868039445
60,38,14,0,18,56,60,0.338,1.067,3,1,6.770358068
59,46,15,4,12,41,36,0.335,0.982,5,2,6.387241773
54,22,15,1,3,29,39,0.326,0.828,2,1,5.653388018
49,45,11,1,10,21,50,0.322,0.886,4,1,6.117145391
54,40,12,0,9,31,57,0.322,0.927,6,0,6.418175533
51,26,8,2,1,17,38,0.321,0.772,3,3,5.27361813
49,31,13,0,3,18,25,0.319,0.801,4,2,5.28850663
60,43,15,0,19,60,59,0.317,0.987,10,1,6.909721054
50,27,21,1,10,42,45,0.316,0.993,2,3,5.277633571
52,19,14,0,4,23,24,0.311,0.836,3,3,5.737210032
57,28,14,0,11,33,48,0.308,0.882,7,2,5.913025584
53,36,16,0,6,15,45,0.308,0.844,4,1,5.294321606
52,38,12,1,15,41,37,0.307,0.943,8,2,6.395899162
58,31,13,0,6,21,43,0.304,0.883,4,1,7.030959379
60,44,12,1,16,47,37,0.304,0.95,9,4,6.992206791
59,31,12,1,6,42,44,0.303,0.804,4,5,7.2686686
53,33,6,0,16,33,58,0.303,0.992,8,0,6.594266743
56,36,8,0,11,28,41,0.3,0.867,3,1,6.816115512
46,24,15,0,5,22,28,0.3,0.84,3,0,6.691176835
54,19,10,1,5,34,45,0.3,0.773,4,2,6.360183649
52,30,11,3,7,29,49,0.297,0.872,3,0,5.280977443
54,39,14,4,10,35,55,0.297,0.968,2,0,5.270770865
55,26,14,0,14,41,56,0.296,0.891,4,1,5.691177147
55,47,9,1,16,39,38,0.292,0.927,2,1,7.377813069
58,45,16,1,17,46,43,0.292,0.993,2,1,6.346955347
50,33,7,0,16,34,63,0.289,0.919,4,1,5.29482622
59,41,13,4,11,28,63,0.289,0.874,5,0,6.642190342
55,34,14,2,15,40,56,0.288,0.959,0,0,6.816115512
54,34,12,3,6,26,41,0.288,0.798,4,0,6.14347445
45,19,14,1,2,17,21,0.287,0.732,2,3,6.117145391
52,29,11,1,9,31,31,0.286,0.915,10,0,7.074992151
54,26,15,3,4,20,30,0.285,0.831,4,1,5.265980078
60,34,10,2,10,40,28,0.284,0.827,4,2,6.661213561
54,35,15,0,3,22,30,0.283,0.698,6,2,5.732569406
55,32,11,0,7,22,48,0.283,0.814,2,1,6.556478218
58,35,20,0,3,20,57,0.283,0.763,3,0,6.328072421
47,22,9,0,7,23,43,0.283,0.801,6,0,6.138334955
60,38,12,0,9,30,33,0.282,0.764,3,1,6.21405558
55,31,14,2,5,25,12,0.281,0.819,6,2,6.458332666
61,36,14,1,6,27,41,0.281,0.77,5,1,6.196866379
53,41,9,2,17,46,56,0.281,0.993,1,4,7.074633086
58,28,4,3,3,10,32,0.28,0.699,6,1,5.283722828
55,33,8,3,8,18,43,0.28,0.888,1,0,5.852545042
60,23,16,0,8,38,38,0.278,0.778,4,4,6.11747125
56,28,6,0,7,25,28,0.278,0.771,1,2,6.270960374
51,31,10,0,8,34,40,0.277,0.809,5,4,5.925862909
57,30,7,2,4,14,45,0.277,0.706,4,0,5.273943105
59,50,11,2,17,45,61,0.277,0.937,6,1,5.287260135
56,41,5,0,22,52,54,0.277,0.948,4,1,5.317175141
55,30,9,0,16,34,45,0.276,0.881,6,2,6.594266743
59,27,10,0,9,34,69,0.275,0.795,6,5,5.283279132
60,49,15,0,10,35,71,0.274,0.809,0,1,6.013396219
55,38,9,0,12,35,49,0.273,0.793,5,2,6.594266743
57,35,18,1,7,34,50,0.271,0.792,6,3,5.285568687
56,30,10,2,8,32,55,0.27,0.842,3,0,6.263273552
56,36,9,2,14,37,58,0.269,0.916,2,2,5.691177147
55,30,11,1,12,32,36,0.268,0.83,5,1,5.992206752
58,41,9,2,13,33,43,0.268,0.962,5,2,6.93005886
58,27,10,0,2,23,42,0.268,0.671,6,4,5.267517228
58,33,12,6,9,42,46,0.268,0.837,2,1,5.269969533
